level,method_pair,breakdown,group,n,agreement_rate,cohens_kappa,spearman_rho,spearman_p,TP,FP,FN,TN
utterance,hurtlex_vs_lexicon,overall,all,293,0.2799,0.0003,0.0622,0.288312,62,6,205,20
utterance,hurtlex_vs_lexicon,model,gemma3,119,0.4286,0.0433,0.1684,0.06718,42,3,65,9
utterance,hurtlex_vs_lexicon,model,llama3.1,55,0.1091,-0.0369,-0.0966,0.482809,6,1,48,0
utterance,hurtlex_vs_lexicon,model,mistral,119,0.2101,-0.0054,-0.065,0.482424,14,2,92,11
utterance,hurtlex_vs_lexicon,nationality,American,160,0.1938,-0.0025,-0.0919,0.247963,19,2,127,12
utterance,hurtlex_vs_lexicon,nationality,North Korean,133,0.3835,0.0058,0.2118,0.014384,43,4,78,8
utterance,hurtlex_vs_lexicon,disability_type,remitted,140,0.3286,0.0072,0.1279,0.13205,34,4,90,12
utterance,hurtlex_vs_lexicon,disability_type,symptomatic,153,0.2353,-0.0007,0.0033,0.967904,28,2,115,8
utterance,hurtlex_vs_lexicon,scenario,childcare,55,0.3273,0.0424,0.0255,0.853389,9,1,36,9
utterance,hurtlex_vs_lexicon,scenario,coworker,58,0.2931,0.0526,0.2396,0.070059,11,0,41,6
utterance,hurtlex_vs_lexicon,scenario,marriage,58,0.1897,0.013,0.4454,0.000459,9,0,47,2
utterance,hurtlex_vs_lexicon,scenario,neighbor,62,0.4032,-0.073,-0.2429,0.057156,24,3,34,1
utterance,hurtlex_vs_lexicon,scenario,renting,60,0.1833,-0.0545,0.0186,0.888096,9,2,47,2
sentence,hurtlex_vs_lexicon,overall,all,1512,0.5939,0.0218,0.0468,0.068747,42,45,569,856
sentence,hurtlex_vs_lexicon,model,gemma3,782,0.6547,0.0536,0.0827,0.02069,29,34,236,483
sentence,hurtlex_vs_lexicon,model,llama3.1,224,0.4107,-0.0169,-0.0595,0.375082,3,4,128,89
sentence,hurtlex_vs_lexicon,model,mistral,506,0.581,0.0255,0.0717,0.107139,10,7,205,284
sentence,hurtlex_vs_lexicon,nationality,American,764,0.5563,-0.0007,0.0008,0.983341,10,13,326,415
sentence,hurtlex_vs_lexicon,nationality,North Korean,748,0.6324,0.058,0.0935,0.010521,32,32,243,441
sentence,hurtlex_vs_lexicon,disability_type,remitted,713,0.6031,0.0516,0.0981,0.008775,26,19,264,404
sentence,hurtlex_vs_lexicon,disability_type,symptomatic,799,0.5857,-0.0053,-0.0022,0.951589,16,26,305,452
sentence,hurtlex_vs_lexicon,scenario,childcare,230,0.6304,0.0286,0.0698,0.291654,6,7,78,139
sentence,hurtlex_vs_lexicon,scenario,coworker,285,0.6421,0.0883,0.1456,0.013873,11,5,97,172
sentence,hurtlex_vs_lexicon,scenario,marriage,347,0.5389,0.034,0.0992,0.064946,9,4,156,178
sentence,hurtlex_vs_lexicon,scenario,neighbor,313,0.5367,-0.0285,-0.0311,0.583362,12,20,125,156
sentence,hurtlex_vs_lexicon,scenario,renting,337,0.638,-0.0085,-0.0166,0.761207,4,9,113,211
utterance,hurtlex_vs_judge,overall,all,293,0.884,0.0937,0.0199,0.734655,256,23,11,3
utterance,hurtlex_vs_judge,model,gemma3,119,0.8739,0.1472,0.2516,0.005773,102,10,5,2
utterance,hurtlex_vs_judge,model,llama3.1,55,0.9273,-0.028,0.1073,0.435738,51,1,3,0
utterance,hurtlex_vs_judge,model,mistral,119,0.8739,0.0698,-0.2131,0.019948,103,12,3,1
utterance,hurtlex_vs_judge,nationality,American,160,0.8562,0.0698,-0.1034,0.193379,135,12,11,2
utterance,hurtlex_vs_judge,nationality,North Korean,133,0.9173,0.1419,0.295,0.000565,121,11,0,1
utterance,hurtlex_vs_judge,disability_type,remitted,140,0.8571,0.1566,0.0728,0.392577,117,13,7,3
utterance,hurtlex_vs_judge,disability_type,symptomatic,153,0.9085,-0.0388,-0.0413,0.611871,139,10,4,0
utterance,hurtlex_vs_judge,scenario,childcare,55,0.8182,0.0,0.0289,0.833889,45,10,0,0
