method_a,method_b,n,cohens_kappa,spearman_rho,TP,FP,FN,TN,agreement_rate
Bias-Lexicon,HurtLex,293,0.0003,0.0622,62,205,6,20,0.2799
Bias-Lexicon,Gemma 4.3B,293,-0.0161,0.0879,63,216,5,9,0.2457
Bias-Lexicon,Gemma 1B,285,0.0,0.1339,64,221,0,0,0.2246
Bias-Lexicon,Llama 3.1,293,0.0916,0.2302,47,124,21,101,0.5051
Bias-Lexicon,Mistral,293,-0.0165,-0.1029,9,33,59,192,0.686
Bias-Lexicon,Toxicity,293,0.0,0.0294,0,0,68,225,0.7679
HurtLex,Gemma 4.3B,293,0.0937,0.0199,256,23,11,3,0.884
HurtLex,Gemma 1B,285,0.0,0.0297,259,26,0,0,0.9088
HurtLex,Llama 3.1,293,-0.0131,0.0489,155,16,112,10,0.5631
HurtLex,Mistral,293,-0.0368,-0.2291,34,8,233,18,0.1775
HurtLex,Toxicity,293,0.0,0.1698,0,0,267,26,0.0887
Gemma 4.3B,Gemma 1B,285,0.0,0.1794,271,14,0,0,0.9509
Gemma 4.3B,Llama 3.1,293,0.1314,0.5398,171,0,108,14,0.6314
Gemma 4.3B,Mistral,293,0.0167,0.4392,42,0,237,14,0.1911
Gemma 4.3B,Toxicity,293,0.0,0.1457,0,0,279,14,0.0478
Gemma 1B,Llama 3.1,285,0.0,0.277,165,0,120,0,0.5789
Gemma 1B,Mistral,285,0.0,0.0853,41,0,244,0,0.1439
Gemma 1B,Toxicity,285,0.0,0.0271,0,0,285,0,0.0
Llama 3.1,Mistral,293,0.2133,0.3571,42,0,129,122,0.5597
Llama 3.1,Toxicity,293,0.0,0.2157,0,0,171,122,0.4164
Mistral,Toxicity,293,0.0,0.0773,0,0,42,251,0.8567
