model,term,beta,SE,z,p,CI_lower,CI_upper
interaction_no_length,Intercept,2.4114,0.2802,8.6063,0.0,1.8622,2.9606
interaction_no_length,C(judge_model)[T.llama],-2.1728,0.3013,-7.2111,0.0,-2.7634,-1.5822
interaction_no_length,C(judge_model)[T.mistral],-4.9188,0.3425,-14.3632,0.0,-5.59,-4.2476
interaction_no_length,C(responder_model)[T.llama3.1],0.2669,0.4993,0.5345,0.593012,-0.7117,1.2454
interaction_no_length,C(responder_model)[T.mistral],0.4306,0.4204,1.0242,0.305721,-0.3933,1.2544
interaction_no_length,C(version)[T.v2],-0.0702,0.1325,-0.5297,0.596288,-0.3299,0.1895
interaction_no_length,C(scale)[T.regular],0.7669,0.1356,5.6547,0.0,0.5011,1.0328
interaction_no_length,C(judge_model)[T.llama]:C(responder_model)[T.llama3.1],-1.3933,0.5562,-2.5048,0.012251,-2.4835,-0.3031
interaction_no_length,C(judge_model)[T.mistral]:C(responder_model)[T.llama3.1],-0.9045,0.6859,-1.3188,0.187242,-2.2488,0.4398
interaction_no_length,C(judge_model)[T.llama]:C(responder_model)[T.mistral],-0.5052,0.4626,-1.092,0.274844,-1.4119,0.4016
interaction_no_length,C(judge_model)[T.mistral]:C(responder_model)[T.mistral],0.3836,0.496,0.7733,0.439342,-0.5886,1.3558
interaction_with_length,Intercept,-0.5504,1.2036,-0.4573,0.647477,-2.9094,1.8086
interaction_with_length,C(judge_model)[T.llama],-2.1805,0.3017,-7.2263,0.0,-2.7719,-1.5891
interaction_with_length,C(judge_model)[T.mistral],-4.939,0.3432,-14.3919,0.0,-5.6117,-4.2664
interaction_with_length,C(responder_model)[T.llama3.1],0.5507,0.5145,1.0704,0.284459,-0.4577,1.5592
interaction_with_length,C(responder_model)[T.mistral],0.5541,0.4232,1.3093,0.190436,-0.2754,1.3836
interaction_with_length,C(version)[T.v2],-0.0705,0.1328,-0.5311,0.59538,-0.3308,0.1898
interaction_with_length,C(scale)[T.regular],0.8024,0.1368,5.8649,0.0,0.5343,1.0706
interaction_with_length,C(judge_model)[T.llama]:C(responder_model)[T.llama3.1],-1.4288,0.5584,-2.5589,0.010501,-2.5233,-0.3344
interaction_with_length,C(judge_model)[T.mistral]:C(responder_model)[T.llama3.1],-0.953,0.6882,-1.3848,0.166103,-2.3018,0.3958
interaction_with_length,C(judge_model)[T.llama]:C(responder_model)[T.mistral],-0.5031,0.463,-1.0865,0.277273,-1.4106,0.4045
interaction_with_length,C(judge_model)[T.mistral]:C(responder_model)[T.mistral],0.3915,0.4965,0.7886,0.430322,-0.5815,1.3646
interaction_with_length,log_length,0.4363,0.173,2.5214,0.011689,0.0971,0.7754
