task_id,judge,chunk,level
0,gemma3:latest,multiwoz_chunk_00.csv,turn
1,gemma3:latest,multiwoz_chunk_01.csv,turn
2,gemma3:latest,multiwoz_chunk_02.csv,turn
3,gemma3:latest,multiwoz_chunk_03.csv,turn
4,gemma3:latest,multiwoz_chunk_04.csv,turn
5,gemma3:latest,multiwoz_chunk_05.csv,turn
6,gemma3:latest,multiwoz_chunk_06.csv,turn
7,gemma3:latest,multiwoz_chunk_07.csv,turn
8,gemma3:latest,multiwoz_chunk_08.csv,turn
9,gemma3:latest,multiwoz_chunk_09.csv,turn
10,gemma3:latest,multiwoz_chunk_10.csv,turn
11,gemma3:latest,multiwoz_chunk_11.csv,turn
12,gemma3:1b,multiwoz_chunk_00.csv,turn
13,gemma3:1b,multiwoz_chunk_01.csv,turn
14,gemma3:1b,multiwoz_chunk_02.csv,turn
15,gemma3:1b,multiwoz_chunk_03.csv,turn
16,gemma3:1b,multiwoz_chunk_04.csv,turn
17,gemma3:1b,multiwoz_chunk_05.csv,turn
18,gemma3:1b,multiwoz_chunk_06.csv,turn
19,gemma3:1b,multiwoz_chunk_07.csv,turn
20,gemma3:1b,multiwoz_chunk_08.csv,turn
21,gemma3:1b,multiwoz_chunk_09.csv,turn
22,gemma3:1b,multiwoz_chunk_10.csv,turn
23,gemma3:1b,multiwoz_chunk_11.csv,turn
24,llama3.1:latest,multiwoz_chunk_00.csv,turn
25,llama3.1:latest,multiwoz_chunk_01.csv,turn
26,llama3.1:latest,multiwoz_chunk_02.csv,turn
27,llama3.1:latest,multiwoz_chunk_03.csv,turn
28,llama3.1:latest,multiwoz_chunk_04.csv,turn
29,llama3.1:latest,multiwoz_chunk_05.csv,turn
30,llama3.1:latest,multiwoz_chunk_06.csv,turn
31,llama3.1:latest,multiwoz_chunk_07.csv,turn
32,llama3.1:latest,multiwoz_chunk_08.csv,turn
33,llama3.1:latest,multiwoz_chunk_09.csv,turn
34,llama3.1:latest,multiwoz_chunk_10.csv,turn
35,llama3.1:latest,multiwoz_chunk_11.csv,turn
36,mistral:latest,multiwoz_chunk_00.csv,turn
37,mistral:latest,multiwoz_chunk_01.csv,turn
38,mistral:latest,multiwoz_chunk_02.csv,turn
39,mistral:latest,multiwoz_chunk_03.csv,turn
40,mistral:latest,multiwoz_chunk_04.csv,turn
41,mistral:latest,multiwoz_chunk_05.csv,turn
42,mistral:latest,multiwoz_chunk_06.csv,turn
43,mistral:latest,multiwoz_chunk_07.csv,turn
44,mistral:latest,multiwoz_chunk_08.csv,turn
45,mistral:latest,multiwoz_chunk_09.csv,turn
46,mistral:latest,multiwoz_chunk_10.csv,turn
47,mistral:latest,multiwoz_chunk_11.csv,turn
