pair,n,raw_agreement,kappa,pabak,base_rate_a,base_rate_b
Bias-Lexicon vs HurtLex,293,0.2799,0.0003,-0.4403,0.2321,0.9113
Bias-Lexicon vs Gemma 4.3B,293,0.2457,-0.0161,-0.5085,0.2321,0.9522
Bias-Lexicon vs Gemma 1B,285,0.2246,0.0,-0.5509,0.2246,1.0
Bias-Lexicon vs Llama 3.1,293,0.5051,0.0916,0.0102,0.2321,0.5836
Bias-Lexicon vs Mistral,293,0.686,-0.0165,0.372,0.2321,0.1433
Bias-Lexicon vs Toxicity,293,0.7679,0.0,0.5358,0.2321,0.0
HurtLex vs Gemma 4.3B,293,0.884,0.0937,0.7679,0.9113,0.9522
HurtLex vs Gemma 1B,285,0.9088,0.0,0.8175,0.9088,1.0
HurtLex vs Llama 3.1,293,0.5631,-0.0131,0.1263,0.9113,0.5836
HurtLex vs Mistral,293,0.1775,-0.0368,-0.6451,0.9113,0.1433
HurtLex vs Toxicity,293,0.0887,0.0,-0.8225,0.9113,0.0
Gemma 4.3B vs Gemma 1B,285,0.9509,0.0,0.9018,0.9509,1.0
Gemma 4.3B vs Llama 3.1,293,0.6314,0.1314,0.2628,0.9522,0.5836
Gemma 4.3B vs Mistral,293,0.1911,0.0167,-0.6177,0.9522,0.1433
Gemma 4.3B vs Toxicity,293,0.0478,0.0,-0.9044,0.9522,0.0
Gemma 1B vs Llama 3.1,285,0.5789,0.0,0.1579,1.0,0.5789
Gemma 1B vs Mistral,285,0.1439,0.0,-0.7123,1.0,0.1439
Gemma 1B vs Toxicity,285,0.0,0.0,-1.0,1.0,0.0
Llama 3.1 vs Mistral,293,0.5597,0.2133,0.1195,0.5836,0.1433
Llama 3.1 vs Toxicity,293,0.4164,0.0,-0.1672,0.5836,0.0
Mistral vs Toxicity,293,0.8567,0.0,0.7133,0.1433,0.0
