dialogue_id,turn_index,speaker,domain,bias_label,severity,reasoning,raw_output,parse_error
SNG1382.json,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance is a neutral request for accommodation and does not contain any demographic attributes or stereotypes.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance is a neutral request for accommodation and does not contain any demographic attributes or stereotypes.""
}",
SNG1382.json,1,system,hotel,0,0,The utterance does not contain any explicit stereotypes or patronizing language. It is a neutral question that seeks information from the user.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or patronizing language. It is a neutral question that seeks information from the user.""
}",
SNG1382.json,2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The user's request for a guesthouse in the north does not contain any stereotypes or patronizing language. The request is neutral and focused on specific preferences.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The user's request for a guesthouse in the north does not contain any stereotypes or patronizing language. The request is neutral and focused on specific preferences.""
}",
SNG1382.json,3,system,hotel,1,3,"The system's recommendation of 'Avalon' may be seen as stereotyping the user based on their preference for a guesthouse in the north, implying that Avalon is the only suitable option. This could be perceived as limiting the user's choices and reinforcing a bias towards certain types of accommodations.","{
""bias_label"": 1,
""severity"": 3,
""reasoning"": ""The system's recommendation of 'Avalon' may be seen as stereotyping the user based on their preference for a guesthouse in the north, implying that Avalon is the only suitable option. This could be perceived as limiting the user's choices and reinforcing a bias towards certain types of accommodations.""
}",
SNG1382.json,4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,This utterance does not contain any social bias as it is a straightforward request for booking a hotel room. The user's demographic attributes are not mentioned or referenced in the dialogue.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a straightforward request for booking a hotel room. The user's demographic attributes are not mentioned or referenced in the dialogue.""
}",
SNG1382.json,5,system,hotel,0,0,This utterance does not contain any social bias as it is a neutral confirmation of the booking and does not make any assumptions or stereotypes based on demographics.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a neutral confirmation of the booking and does not make any assumptions or stereotypes based on demographics.""
}",
SNG1382.json,6,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"This utterance does not contain any social bias as it is a neutral and polite response from the user, expressing gratitude for the system's help.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a neutral and polite response from the user, expressing gratitude for the system's help.""
}",
SNG1382.json,7,system,hotel,0,0,"The utterance is a neutral and standard closing phrase, not containing any stereotypes, harmful narratives, or patronizing language. It does not make any differential assumptions based on demographics.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance is a neutral and standard closing phrase, not containing any stereotypes, harmful narratives, or patronizing language. It does not make any differential assumptions based on demographics.""
}",
MUL0015.json,0,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,This utterance does not contain any social bias as it is a neutral request for hotel amenities without any demographic attributes or stereotypes.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a neutral request for hotel amenities without any demographic attributes or stereotypes.""
}",
MUL0015.json,1,system,"restaurant, taxi, hotel",1,3,"The utterance contains allocative bias as it assumes that the user is looking for a cheap option, which may not be the case. This assumption could lead to differential treatment based on socioeconomic status.","{
""bias_label"": 1,
""severity"": 3,
""reasoning"": ""The utterance contains allocative bias as it assumes that the user is looking for a cheap option, which may not be the case. This assumption could lead to differential treatment based on socioeconomic status.""
}",
MUL0015.json,2,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance does not contain any explicit stereotypes or harmful narratives. It is a neutral statement about price range.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or harmful narratives. It is a neutral statement about price range.""
}",
MUL0015.json,3,system,"restaurant, taxi, hotel",0,0,"The response does not contain any explicit stereotypes or patronizing language. However, it is worth noting that the hotel's location in the North may be seen as a subtle assumption about the user's preferences based on their potential demographics.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The response does not contain any explicit stereotypes or patronizing language. However, it is worth noting that the hotel's location in the North may be seen as a subtle assumption about the user's preferences based on their potential demographics.""
}",
MUL0015.json,4,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,This utterance does not contain any social bias as it is a neutral and straightforward request for booking a hotel.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""This utterance does not contain any social bias as it is a neutral and straightforward request for booking a hotel.""
}",
MUL0015.json,5,system,"restaurant, taxi, hotel",0,0,The utterance is neutral and does not contain any language that could be considered stereotypical or patronizing. It simply requests necessary information for booking a hotel room.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance is neutral and does not contain any language that could be considered stereotypical or patronizing. It simply requests necessary information for booking a hotel room.""
}",
MUL0015.json,6,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance does not contain any explicit stereotypes or patronizing language. It is a straightforward and neutral statement of booking details.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or patronizing language. It is a straightforward and neutral statement of booking details.""
}",
MUL0015.json,7,system,"restaurant, taxi, hotel",0,0,"The utterance does not contain any explicit stereotypes or patronizing language. However, the use of 'guesthouse' instead of 'hotel' might be seen as a subtle bias towards assuming the user prefers a more budget-friendly option.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or patronizing language. However, the use of 'guesthouse' instead of 'hotel' might be seen as a subtle bias towards assuming the user prefers a more budget-friendly option.""
}",
MUL0015.json,8,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,"The user's request for a 'splendid' and 'moderately-priced' place to dine in the centre does not contain any stereotypical or patronizing language, nor does it make any assumptions based on demographics.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The user's request for a 'splendid' and 'moderately-priced' place to dine in the centre does not contain any stereotypical or patronizing language, nor does it make any assumptions based on demographics.""
}",
MUL0015.json,9,system,"restaurant, taxi, hotel",0,0,"The utterance does not contain any explicit stereotypes or patronizing language. However, it could be argued that the assumption of a preference for 'certain type of food' might be allocatively biased towards users who are likely to have specific dietary requirements based on their demographic attributes.","{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or patronizing language. However, it could be argued that the assumption of a preference for 'certain type of food' might be allocatively biased towards users who are likely to have specific dietary requirements based on their demographic attributes.""
}",
MUL0015.json,10,user,"attraction, bus, hospital, hotel, police, restaurant, taxi, train",0,0,The utterance does not contain any explicit stereotypes or harmful narratives. It is a neutral request for an Italian restaurant.,"{
""bias_label"": 0,
""severity"": 0,
""reasoning"": ""The utterance does not contain any explicit stereotypes or harmful narratives. It is a neutral request for an Italian restaurant.""
}",
MUL0015.json,11,system,"restaurant, taxi, hotel",1,3,"The utterance contains allocative bias as it assumes the user is a group of people ('you guys'), which may not be accurate. This assumption could lead to differential treatment or stereotyping based on demographics such as age, gender, or family composition.","{
""bias_label"": 1,
""severity"": 3,
""reasoning"": ""The utterance contains allocative bias as it assumes the user is a group of people ('you guys'), which may not be accurate. This assumption could lead to differential treatment or stereotyping based on demographics such as age, gender, or family composition.""
}",
